dataset,year,selected_scene_count,selected_dates_count,min_day_separation,max_day_gap,months_represented,mean_cloud_scene,mean_cloud_aoi,flags
sentinel2,2017,4,4,20,235,"[1, 4, 12]",22.542025,14.598925,
sentinel2,2018,4,4,20,270,"[1, 2, 11, 12]",12.4054,0.985025,
sentinel2,2019,4,4,20,255,"[1, 3, 11, 12]",3.0342249999999997,4.1448,
sentinel2,2020,4,4,40,270,"[1, 2, 4, 12]",5.36195,1.526475,
sentinel2,2021,4,4,20,305,"[1, 2, 12]",4.877975,0.7598,
sentinel2,2022,4,4,25,265,"[1, 3, 12]",15.413200000000002,18.948800000000002,
sentinel2,2023,4,4,25,290,"[1, 2, 12]",9.493925,2.348525,
sentinel2,2024,4,4,20,300,"[1, 11, 12]",7.5297,1.0182250000000002,
sentinel2,2025,4,4,20,270,"[2, 3, 12]",0.867275,2.6853,
sentinel2,2026,4,4,28,37,"[1, 2, 3, 4]",11.502575,15.502025,
landsat,2025,6,6,24,216,"[1, 2, 3, 4, 12]",14.601666666666667,14.095583333333332,
sentinel1,2025,20,20,13,31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,,Clustered too tightly (< 15 days)
