plot_id,province,official_participating_area_rai,geometry_area_rai,year,period_role,scene_dates,total_pixel_count,valid_pixel_count,valid_fraction,mean_ndvi,median_ndvi,ndvi_p25,ndvi_p75,vegetation_fraction_ndvi_gte_0_35,strong_vegetation_fraction_ndvi_gte_0_50,mean_mndwi,median_mndwi,water_fraction_mndwi_gt_0,pixel_confidence
91-STC,สมุทรสงคราม,279.433438,279.436522,2023,pre,2023-01-16;2023-03-07;2023-04-21,1117,1117,1.0,0.40318,0.40689,0.38546,0.42465,0.93912,0.0,-0.11881,-0.12288,0.0,LOW
92-STC,สมุทรสงคราม,98.94,100.357299,2023,pre,2023-01-16;2023-03-07;2023-04-21,400,400,1.0,0.39332,0.40163,0.38237,0.41253,0.9075,0.0,-0.12978,-0.13786,0.0075,LOW
93-STC,สมุทรสงคราม,79.018438,79.016015,2023,pre,2023-01-16;2023-03-07;2023-04-21,314,314,1.0,0.40748,0.4147,0.39616,0.43035,0.92994,0.0,-0.12295,-0.13511,0.02229,LOW
94-STC,สมุทรสงคราม,30.660625,30.659719,2023,pre,2023-01-16;2023-03-07;2023-04-21,120,120,1.0,0.40019,0.41487,0.39613,0.42647,0.89167,0.0,-0.12077,-0.13862,0.01667,LOW
95-STC,สมุทรสงคราม,22.914375,22.913876,2023,pre,2023-01-16;2023-03-07;2023-04-21,93,93,1.0,0.38845,0.40702,0.37616,0.41792,0.84946,0.0,-0.10104,-0.12322,0.04301,LOW
96-STC,สมุทรสงคราม,5.149375,5.14965,2023,pre,2023-01-16;2023-03-07;2023-04-21,21,21,1.0,0.4059,0.41936,0.39821,0.42885,0.85714,0.0,-0.11456,-0.12869,0.0,LOW
97-STC,สมุทรสงคราม,15.959063,15.958228,2023,pre,2023-01-16;2023-03-07;2023-04-21,65,65,1.0,0.41551,0.41379,0.40703,0.42632,0.95385,0.01538,-0.1101,-0.12674,0.01538,LOW
98-STC,สมุทรสงคราม,3.59,3.590606,2023,pre,2023-01-16;2023-03-07;2023-04-21,13,13,1.0,0.37236,0.37139,0.3459,0.41361,0.69231,0.0,-0.06342,-0.06612,0.0,LOW
87-VSD,สมุทรสงคราม,92.92,101.620847,2023,pre,2023-01-16;2023-03-07;2023-04-21,404,404,1.0,0.41471,0.44213,0.40889,0.45515,0.84653,0.0099,-0.12521,-0.12226,0.00743,LOW
91-STC,สมุทรสงคราม,279.433438,279.436522,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,1117,1117,1.0,0.45268,0.44907,0.42835,0.48333,0.99373,0.13339,-0.16685,-0.16811,0.0,LOW
92-STC,สมุทรสงคราม,98.94,100.357299,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,400,400,1.0,0.46633,0.47399,0.45583,0.48827,0.9775,0.0675,-0.16906,-0.17464,0.0,LOW
93-STC,สมุทรสงคราม,79.018438,79.016015,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,314,314,1.0,0.47938,0.48733,0.47258,0.5021,0.97771,0.29299,-0.15701,-0.1626,0.0,LOW
94-STC,สมุทรสงคราม,30.660625,30.659719,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,120,120,1.0,0.46332,0.47737,0.45634,0.48823,0.975,0.13333,-0.1518,-0.16459,0.00833,LOW
95-STC,สมุทรสงคราม,22.914375,22.913876,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,93,93,1.0,0.4503,0.47018,0.42962,0.48426,0.93548,0.07527,-0.13741,-0.14922,0.01075,LOW
96-STC,สมุทรสงคราม,5.149375,5.14965,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,21,21,1.0,0.46308,0.47373,0.44738,0.48793,0.95238,0.19048,-0.14728,-0.15213,0.0,LOW
97-STC,สมุทรสงคราม,15.959063,15.958228,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,65,65,1.0,0.47693,0.48211,0.46814,0.49212,1.0,0.15385,-0.14213,-0.15284,0.01538,LOW
98-STC,สมุทรสงคราม,3.59,3.590606,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,13,13,1.0,0.42373,0.427,0.40013,0.45869,0.84615,0.07692,-0.09239,-0.10092,0.0,LOW
87-VSD,สมุทรสงคราม,92.92,101.620847,2024,intervention_ambiguous,2024-02-15;2024-03-31;2024-04-30,404,404,1.0,0.38897,0.42497,0.37789,0.44417,0.7896,0.0,-0.15052,-0.1451,0.0099,LOW
91-STC,สมุทรสงคราม,279.433438,279.436522,2025,post,2025-01-15;2025-02-14;2025-03-26,1117,1117,1.0,0.47067,0.4782,0.45105,0.4964,0.9812,0.19338,-0.14782,-0.1495,0.0,LOW
92-STC,สมุทรสงคราม,98.94,100.357299,2025,post,2025-01-15;2025-02-14;2025-03-26,400,400,1.0,0.46601,0.47359,0.45817,0.4933,0.96,0.165,-0.15085,-0.16039,0.0075,LOW
93-STC,สมุทรสงคราม,79.018438,79.016015,2025,post,2025-01-15;2025-02-14;2025-03-26,314,314,1.0,0.47101,0.47542,0.45291,0.49909,0.98089,0.24204,-0.15079,-0.1602,0.01274,LOW
94-STC,สมุทรสงคราม,30.660625,30.659719,2025,post,2025-01-15;2025-02-14;2025-03-26,120,120,1.0,0.46037,0.47063,0.45376,0.48115,0.975,0.05,-0.14985,-0.16122,0.01667,LOW
95-STC,สมุทรสงคราม,22.914375,22.913876,2025,post,2025-01-15;2025-02-14;2025-03-26,93,93,1.0,0.45842,0.46189,0.4486,0.48113,0.98925,0.08602,-0.13429,-0.14842,0.01075,LOW
96-STC,สมุทรสงคราม,5.149375,5.14965,2025,post,2025-01-15;2025-02-14;2025-03-26,21,21,1.0,0.46874,0.47628,0.46083,0.4917,0.95238,0.19048,-0.14691,-0.1567,0.0,LOW
97-STC,สมุทรสงคราม,15.959063,15.958228,2025,post,2025-01-15;2025-02-14;2025-03-26,65,65,1.0,0.47331,0.47527,0.46051,0.48932,0.96923,0.16923,-0.14603,-0.15874,0.01538,LOW
98-STC,สมุทรสงคราม,3.59,3.590606,2025,post,2025-01-15;2025-02-14;2025-03-26,13,13,1.0,0.4367,0.44681,0.41996,0.47484,0.84615,0.07692,-0.10016,-0.10998,0.0,LOW
87-VSD,สมุทรสงคราม,92.92,101.620847,2025,post,2025-01-15;2025-02-14;2025-03-26,404,404,1.0,0.43823,0.4705,0.43826,0.48317,0.86139,0.07673,-0.15545,-0.15096,0.01238,LOW
91-STC,สมุทรสงคราม,279.433438,279.436522,2026,post,2026-01-30;2026-03-01;2026-04-05,1117,1117,1.0,0.46805,0.47567,0.45089,0.49198,0.98747,0.15309,-0.1573,-0.15953,0.0,LOW
92-STC,สมุทรสงคราม,98.94,100.357299,2026,post,2026-01-30;2026-03-01;2026-04-05,400,400,1.0,0.47656,0.48485,0.47001,0.49935,0.9725,0.2425,-0.15311,-0.16184,0.0025,LOW
93-STC,สมุทรสงคราม,79.018438,79.016015,2026,post,2026-01-30;2026-03-01;2026-04-05,314,314,1.0,0.49128,0.4971,0.48041,0.51206,0.98089,0.45223,-0.14777,-0.15403,0.00955,LOW
94-STC,สมุทรสงคราม,30.660625,30.659719,2026,post,2026-01-30;2026-03-01;2026-04-05,120,120,1.0,0.48221,0.49061,0.47489,0.50258,0.98333,0.3,-0.14181,-0.15487,0.01667,LOW
95-STC,สมุทรสงคราม,22.914375,22.913876,2026,post,2026-01-30;2026-03-01;2026-04-05,93,93,1.0,0.47998,0.48795,0.47682,0.5018,0.98925,0.29032,-0.13228,-0.14783,0.01075,LOW
96-STC,สมุทรสงคราม,5.149375,5.14965,2026,post,2026-01-30;2026-03-01;2026-04-05,21,21,1.0,0.4882,0.49521,0.48276,0.50203,1.0,0.28571,-0.1437,-0.15347,0.0,LOW
97-STC,สมุทรสงคราม,15.959063,15.958228,2026,post,2026-01-30;2026-03-01;2026-04-05,65,65,1.0,0.49316,0.49205,0.48298,0.50938,0.98462,0.35385,-0.13691,-0.14959,0.01538,LOW
98-STC,สมุทรสงคราม,3.59,3.590606,2026,post,2026-01-30;2026-03-01;2026-04-05,13,13,1.0,0.46043,0.46332,0.45268,0.49469,0.92308,0.07692,-0.09566,-0.10778,0.0,LOW
87-VSD,สมุทรสงคราม,92.92,101.620847,2026,post,2026-01-30;2026-03-01;2026-04-05,404,404,1.0,0.45658,0.48062,0.45457,0.49428,0.91584,0.15099,-0.15864,-0.15399,0.00743,LOW
