plot_id,indicator,historical_median_lrr_m_per_year,recent_median_lrr_m_per_year,trend_change_recent_minus_historical_m_per_year,candidate_control_historical_median_lrr_m_per_year,candidate_control_recent_median_lrr_m_per_year,historical_treatment_minus_control_lrr_m_per_year,recent_treatment_minus_control_lrr_m_per_year,difference_in_differences_screening_m_per_year,historical_class_counts,recent_class_counts,confidence
91-STC,WATERLINE,6.32,0.0,-6.32,0.0,0.0,6.32,0.0,-6.32,"{'INSUFFICIENT_DATA': 3, 'WITHIN_20M': 48, 'APPARENT_LANDWARD': 2, 'APPARENT_SEAWARD': 56}","{'WITHIN_20M': 82, 'APPARENT_SEAWARD': 24, 'APPARENT_LANDWARD': 3}",LOW
91-STC,MANGROVE_EDGE_PROXY,-2.14,6.0,8.14,-4.29,6.0,2.15,0.0,-2.15,"{'APPARENT_LANDWARD': 52, 'APPARENT_SEAWARD': 33, 'WITHIN_20M': 24}","{'APPARENT_SEAWARD': 51, 'APPARENT_LANDWARD': 7, 'WITHIN_20M': 51}",LOW
92-STC,WATERLINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'WITHIN_20M': 26, 'APPARENT_LANDWARD': 8, 'APPARENT_SEAWARD': 23, 'INSUFFICIENT_DATA': 2}","{'WITHIN_20M': 47, 'APPARENT_SEAWARD': 8, 'APPARENT_LANDWARD': 4}",LOW
92-STC,MANGROVE_EDGE_PROXY,-4.02,8.0,12.02,-2.36,6.0,-1.66,2.0,3.66,"{'WITHIN_20M': 22, 'APPARENT_LANDWARD': 33, 'APPARENT_SEAWARD': 4}","{'WITHIN_20M': 20, 'APPARENT_SEAWARD': 35, 'APPARENT_LANDWARD': 4}",LOW
93-STC,WATERLINE,0.0,0.0,0.0,-86.38,0.0,86.38,0.0,-86.38,"{'WITHIN_20M': 35, 'APPARENT_SEAWARD': 13}","{'WITHIN_20M': 36, 'APPARENT_SEAWARD': 11, 'APPARENT_LANDWARD': 1}",LOW
93-STC,MANGROVE_EDGE_PROXY,-1.41,6.0,7.41,-45.82,0.0,44.41,6.0,-38.41,"{'WITHIN_20M': 26, 'APPARENT_SEAWARD': 7, 'APPARENT_LANDWARD': 15}","{'WITHIN_20M': 25, 'APPARENT_SEAWARD': 22, 'APPARENT_LANDWARD': 1}",LOW
94-STC,WATERLINE,47.12,0.0,-47.12,60.0,0.0,-12.88,0.0,12.88,"{'APPARENT_LANDWARD': 4, 'WITHIN_20M': 12, 'APPARENT_SEAWARD': 3, 'INSUFFICIENT_DATA': 1}","{'APPARENT_SEAWARD': 3, 'WITHIN_20M': 13, 'APPARENT_LANDWARD': 4}",LOW
94-STC,MANGROVE_EDGE_PROXY,-2.86,6.0,8.86,-2.14,6.0,-0.72,0.0,0.72,"{'APPARENT_LANDWARD': 9, 'WITHIN_20M': 9, 'APPARENT_SEAWARD': 2}","{'APPARENT_SEAWARD': 6, 'WITHIN_20M': 12, 'APPARENT_LANDWARD': 2}",LOW
95-STC,WATERLINE,0.0,0.0,0.0,88.57,0.0,-88.57,0.0,88.57,"{'APPARENT_LANDWARD': 3, 'WITHIN_20M': 17, 'APPARENT_SEAWARD': 2}","{'WITHIN_20M': 15, 'APPARENT_LANDWARD': 3, 'APPARENT_SEAWARD': 4}",LOW
95-STC,MANGROVE_EDGE_PROXY,-4.1,6.55,10.65,-21.43,4.0,17.33,2.55,-14.78,"{'WITHIN_20M': 12, 'APPARENT_LANDWARD': 10}","{'APPARENT_SEAWARD': 10, 'WITHIN_20M': 12}",LOW
96-STC,WATERLINE,48.57,0.71,-47.86,5.71,-2.05,42.86,2.76,-40.1,"{'WITHIN_20M': 5, 'INSUFFICIENT_DATA': 1}","{'WITHIN_20M': 4, 'APPARENT_SEAWARD': 2}",LOW
96-STC,MANGROVE_EDGE_PROXY,-3.93,0.0,3.93,-2.86,0.0,-1.07,0.0,1.07,"{'APPARENT_LANDWARD': 2, 'WITHIN_20M': 4}","{'APPARENT_SEAWARD': 2, 'WITHIN_20M': 4}",LOW
97-STC,WATERLINE,-7.16,4.1,11.26,4.3,0.0,-11.46,4.1,15.56,"{'WITHIN_20M': 9, 'APPARENT_LANDWARD': 10}","{'WITHIN_20M': 9, 'APPARENT_SEAWARD': 10}",LOW
97-STC,MANGROVE_EDGE_PROXY,-5.16,6.0,11.16,-4.3,6.02,-0.86,-0.02,0.84,"{'WITHIN_20M': 7, 'APPARENT_LANDWARD': 12}","{'WITHIN_20M': 8, 'APPARENT_SEAWARD': 9, 'APPARENT_LANDWARD': 2}",LOW
98-STC,WATERLINE,-7.14,2.0,9.14,4.3,-2.05,-11.44,4.05,15.49,"{'APPARENT_LANDWARD': 6, 'WITHIN_20M': 5}","{'WITHIN_20M': 7, 'APPARENT_SEAWARD': 3, 'APPARENT_LANDWARD': 1}",LOW
98-STC,MANGROVE_EDGE_PROXY,-3.0,3.86,6.86,-5.73,6.01,2.73,-2.15,-4.88,"{'WITHIN_20M': 4, 'APPARENT_LANDWARD': 7}","{'WITHIN_20M': 6, 'APPARENT_SEAWARD': 5}",LOW
87-VSD,WATERLINE,,,,,,,,,{},{},LOW
87-VSD,MANGROVE_EDGE_PROXY,,,,,,,,,{},{},LOW
