transect_id,plot_id,movement_2025_2026_m,class_20m,tide_status,confidence
T012,91-STC,-2.24,within_20m,unverified,LOW
T013,91-STC,-15.97,within_20m,unverified,LOW
T014,91-STC,-7.65,within_20m,unverified,LOW
T015,91-STC,-5.13,within_20m,unverified,LOW
T016,91-STC,4.45,within_20m,unverified,LOW
T017,91-STC,-3.86,within_20m,unverified,LOW
T018,91-STC,-4.4,within_20m,unverified,LOW
T019,91-STC,0.0,within_20m,unverified,LOW
T020,91-STC,-2.38,within_20m,unverified,LOW
T021,91-STC,-5.94,within_20m,unverified,LOW
T022,91-STC,-2.66,within_20m,unverified,LOW
T023,91-STC,0.33,within_20m,unverified,LOW
T024,92-STC,2.25,within_20m,unverified,LOW
T025,92-STC,4.18,within_20m,unverified,LOW
T026,92-STC,5.51,within_20m,unverified,LOW
T027,92-STC,1.12,within_20m,unverified,LOW
T028,92-STC,3.54,within_20m,unverified,LOW
T029,92-STC,1.96,within_20m,unverified,LOW
T030,92-STC,0.4,within_20m,unverified,LOW
T031,92-STC,-2.77,within_20m,unverified,LOW
T032,92-STC,-6.48,within_20m,unverified,LOW
T033,93-STC,-2.07,within_20m,unverified,LOW
T034,93-STC,-0.68,within_20m,unverified,LOW
T035,93-STC,1.5,within_20m,unverified,LOW
T036,93-STC,4.67,within_20m,unverified,LOW
T037,93-STC,-30.23,apparent_inland,unverified,LOW
T038,93-STC,-22.76,apparent_inland,unverified,LOW
T039,92-STC,-12.76,within_20m,unverified,LOW
T040,93-STC,-8.81,within_20m,unverified,LOW
T041,93-STC,-1.25,within_20m,unverified,LOW
T042,94-STC,25.27,apparent_seaward,unverified,LOW
T043,97-STC,25.73,apparent_seaward,unverified,LOW
T044,97-STC,37.49,apparent_seaward,unverified,LOW
T045,95-STC,70.5,apparent_seaward,unverified,LOW
T046,95-STC,0.0,within_20m,unverified,LOW
T047,96-STC,0.0,within_20m,unverified,LOW
T048,95-STC,0.0,within_20m,unverified,LOW
T049,95-STC,0.0,within_20m,unverified,LOW
T050,96-STC,0.0,within_20m,unverified,LOW
T051,97-STC,-46.34,apparent_inland,unverified,LOW
T052,97-STC,-92.11,apparent_inland,unverified,LOW
T053,98-STC,-7.63,within_20m,unverified,LOW
T055,98-STC,-81.66,apparent_inland,unverified,LOW
