plot_code,province,pdd_area_rai,month,analysis_mode,scene_count,inside_pixel_count,valid_pixel_count,coverage_pct,qa,mean_ndvi,median_ndvi,median_ndre,median_mndwi,median_mfi
97-VSD,กระบี่,184.64,2023-09,same_month_multi_scene_composite,2,2953,2848,96.44,GOOD,0.5042,0.5192,0.4213,-0.1211,0.2363
97-VSD,กระบี่,184.64,2023-12,same_month_multi_scene_composite,2,2953,2834,95.97,GOOD,0.4935,0.5036,0.4121,-0.1258,0.2084
97-VSD,กระบี่,184.64,2024-03,single_scene_good,1,2953,2953,100.0,GOOD,0.4953,0.5162,0.3965,-0.1791,0.2017
97-VSD,กระบี่,184.64,2024-06,same_month_multi_scene_composite,4,2953,2873,97.29,GOOD,0.4714,0.484,0.3762,-0.1378,0.1937
97-VSD,กระบี่,184.64,2024-09,single_scene_good,1,2953,2953,100.0,GOOD,0.4928,0.5053,0.4011,-0.1334,0.2124
97-VSD,กระบี่,184.64,2024-12,same_month_multi_scene_composite,3,2953,2758,93.4,PARTIAL,0.5527,0.5728,0.4694,-0.1543,0.2382
97-VSD,กระบี่,184.64,2025-03,single_scene_good,1,2953,2953,100.0,GOOD,0.4975,0.5179,0.372,-0.1685,0.2008
97-VSD,กระบี่,184.64,2025-06,single_scene_good,1,2953,2879,97.49,GOOD,0.3544,0.3494,0.2968,-0.096,0.189
97-VSD,กระบี่,184.64,2025-09,same_month_multi_scene_composite,2,2953,2804,94.95,PARTIAL,0.3104,0.3145,0.2677,0.0427,0.1633
97-VSD,กระบี่,184.64,2025-12,single_scene_good,1,2953,2953,100.0,GOOD,0.5347,0.5518,0.4442,-0.1485,0.2136
97-VSD,กระบี่,184.64,2026-03,single_scene_good,1,2953,2953,100.0,GOOD,0.4971,0.519,0.3674,-0.1677,0.1975
97-VSD,กระบี่,184.64,2026-08,single_scene_good,1,2953,2871,97.22,GOOD,0.5384,0.5546,0.4453,-0.1464,0.2386
98-VSD,กระบี่,150.95,2023-09,single_scene_partial,1,2420,836,34.55,LOW_QA,0.4939,0.5515,0.4419,-0.1251,0.2576
98-VSD,กระบี่,150.95,2023-12,single_scene_partial,1,2420,1784,73.72,PARTIAL,0.557,0.5703,0.4543,-0.1463,0.2359
98-VSD,กระบี่,150.95,2024-03,single_scene_good,1,2420,2397,99.05,GOOD,0.5117,0.5263,0.4026,-0.171,0.2121
98-VSD,กระบี่,150.95,2024-06,single_scene_good,1,2420,2365,97.73,GOOD,0.4797,0.4875,0.3836,-0.1383,0.1952
98-VSD,กระบี่,150.95,2024-09,same_month_multi_scene_composite,3,2420,2242,92.64,PARTIAL,0.483,0.5393,0.4222,-0.1514,0.2311
